Assertion Modules,RTL Module Name,RTL Instance Name,Assertion Signals,RTL signals,Input/Output,,,
IO,SE,SE,hash_A,io_in_op1[315:256],Input,,,
,,,in_A,io_in_op1[255:0],Input,,,
,,,hash_B,io_in_op2[314:256],Input,,,
,,,in_B,io_in_op2[255:0],Input,,,
,,,inst,io_in_inst[7:0],Input,,,
,,,in_valid,io_in_valid,Input,,,
,,,out_ready,io_out_ready,Input,,,
,,,hash_C,io_out_result[315:256],Output,,,
,,,out_C,io_out_result[255:0],Output,,,
,,,out_valid,io_out_valid,Output,,,
,,,in_ready,io_out_ready,Output,,,
,,,,,,,,
Enc_result,AESEncrypt256,aes_cipher,plaintext,io_input_op2[127:64],Input,,,
,,,RN,io_input_op2[63:17],Input,,,
,,,hash_A,io_input_op1[127:68],Input,,,
,,,hash_B,io_input_op1[67:8],Input,,,
,,,inst,io_input_op1[7:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,pub_priv,io_input_op2[16],Input,,,
,,,version_id,io_input_op2[15:0],Input,,,
,,,ciphertext,io_output_text[255:0],Output,,,
,,,out_valid,aes_cipher_io_output_valid,Output,,,
,,,,,,,,
Enc_hash,AESEncrypt,aes_cipher_for_hash_C,hash_A,io_input_text[125:68],Input,,,
,,,hash_B,io_input_text[65:8],Input,,,
,,,inst,io_input_text[7:0],Input,,,
,,,pub_priv_A,io_input_text[127:126],Input,,,
,,,pub_priv_B,io_input_text[67:66],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,hash_C,io_output_text[127:0],Output,,,
,,,out_valid,io_output_valid,Output,,,
,,,,,,,,
Enc_veriA,AESEncrypt,aes_cipher_for_op1,hash_A,io_input_text[127:68],Input,,,
,,,hash_B,io_input_text[67:8],Input,,,
,,,inst,io_input_text[7:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,hash_C,io_output_text[127:0],Output,,,
,,,out_valid,io_output_valid,Output,,,
,,,,,,,,
Enc_veriB,AESEncrypt,aes_cipher_for_op2,hash_A,io_input_text[127:68],Input,,,
,,,hash_B,io_input_text[67:8],Input,,,
,,,inst,io_input_text[7:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,hash_C,io_output_text[127:0],Output,,,"in_old_value, in_new_value, in_valid"
,,,out_valid,io_output_valid,Output,,,"outputs: out_var_hash, out_valid"
,,,,,,,,
Enc_pub_var,AESEncrypt,aes_cipher_for_pub_var,in_old_value,io_input_text[127:64],Input,,,
,,,in_new_value,io_input_text[63:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,out_var_hash,io_output_text[127:0],Output,,,
,,,out_valid,io_output_valid,Output,,,
,,,,,,,,
Dec_A,AESDecrypt,aes_invcipher_op1,ciphertext,io_input_text[255:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,plaintext,io_output_text[255:192],Output,,,
,,,RN,io_output_text[191:145],Output,,,
,,,pub_priv,io_output_text[144],Output,,,
,,,versionID,io_output_text[143:128],Output,,,
,,,hash_1,io_output_text[127:68],Output,,,
,,,hash_2,io_output_text[67:8],Output,,,
,,,inst,io_output_text[7:0],Output,,,
,,,out_valid,io_output_valid,Output,,,
,,,,,,,,
Dec_B,AESDecrypt,aes_invcipher_op2,ciphertext,io_input_text[255:0],Input,,,
,,,in_valid,io_input_valid,Input,,,
,,,plaintext,io_output_text[255:192],Output,,,
,,,RN,io_output_text[191:145],Output,,,
,,,pub_priv,io_output_text[144],Output,,,
,,,versionID,io_output_text[143:128],Output,,,
,,,hash_1,io_output_text[127:68],Output,,,
,,,hash_2,io_output_text[67:8],Output,,,
,,,inst,io_output_text[7:0],Output,,,
,,,out_valid,io_output_valid,Output,,,
,,,,,,,,
ALU,SEOperation,seoperation,op_A,io_op1_input[63:0],Input,,,
,,,op_B,io_op2_input[63:0],Input,,,
,,,inst,io_inst[7:0],Input,,,
,,,in_valid,io_in_valid,Input,,,
,,,result,io_result[63:0],Output,,,
,,,out_valid,io_out_valid,Output,,,
,,,,,,,,
RNG,MaxPeriodFibonacciLFSR_1,bit47_randnum_prng,RN,bit47_randnum,Output,,,
,,,,,,,,
compare_and_verify_A,Hash_Compare,HC_op1,hash_input,io_hash_orig,Input,,,
,,,hash_reconstructed,io_hash_regenerated,Input,,,
,,,in_valid,io_valid_in,Input,,,
,,,check,io_compare_result,Output,,,
,,,out_valid,io_valid_out,Output,,,
,,,check,io_compare_result,Output,,,
,,,out_valid,io_valid_out,Output,,,
,,,,,,,,
compare_and_verify_B,Hash_Compare,HC_op2,hash_input,io_hash_orig,Input,,,
,,,hash_reconstructed,io_hash_regenerated,Input,,,
,,,in_valid,io_valid_in,Input,,,
,,,check,io_compare_result,Output,,,
,,,out_valid,io_valid_out,Output,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
version_id_generator,Version_ID_Generator,VID_0,pub_priv_A,io_pub_priv_opA,Input,,,
,,,pub_priv_B,io_pub_priv_opB,Input,,,
,,,version_id_A,io_version_id_opA,Input,,,
,,,version_id_B,io_version_id_opB,Input,,,
,,,in_valid,io_valid_in,Input,,,
,,,out_pub_priv,io_pub_priv_out,Output,,,
,,,out_version_id,io_version_id_out,Output,,,
,,,out_valid,io_valid_out,Output,,,
,,,,,,,,
pub_var_rng,MaxPeriodFibonacciLFSR,PUB_VAR_HASH_LFSR_prng,increment,io_increment,Input,,,
,,,pub_var_rand,io_PUB_VAR_HASH_LFSR,Output,,,
,,,,,,,,
register,SE,SE,inst_reg,inst_buffer,,,,
,,,,,,,,
register,SE,SE,pub_var_hash_register,pub_var_hash_register,,,,
